V1, V2, V3
967, 967, 2903
984, 984, 2919
968, 968, 2904
967, 967, 2920
983, 983, 2905
984, 984, 2921
968, 968, 2906
985, 985, 2922
969, 969, 2907
968, 968, 2923
984, 984, 2908
985, 985, 2924
969, 969, 2909
986, 986, 2925
970, 970, 2910
969, 969, 2926
985, 985, 2911
986, 986, 2927
970, 970, 2913
987, 987, 2929
971, 971, 2914
970, 970, 2930
986, 986, 2915
987, 987, 2931
971, 971, 2916
988, 988, 2932
972, 972, 2917
971, 971, 2933
987, 987, 2918
988, 988, 2934
972, 972, 2919
989, 989, 2935
973, 973, 2920
972, 972, 2936
988, 988, 2921
989, 989, 2937
973, 973, 2922
990, 990, 2938
974, 974, 2923
973, 973, 2939
989, 989, 2924
990, 990, 2940
974, 974, 2925
991, 991, 2941
975, 975, 2926
974, 974, 2942
990, 990, 2927
991, 991, 2943
976, 976, 2929
993, 993, 2945
977, 977, 2930
976, 976, 2946
992, 992, 2931
993, 993, 2947
977, 977, 2932
994, 994, 2948
978, 978, 2933
977, 977, 2949
993, 993, 2934
994, 994, 2950
978, 978, 2935
995, 995, 2951
979, 979, 2936
978, 978, 2952
994, 994, 2937
995, 995, 2953
979, 979, 2938
996, 996, 2954
980, 980, 2939
979, 979, 2955
995, 995, 2940
996, 996, 2956
980, 980, 2941
997, 997, 2957
981, 981, 2942
980, 980, 2958
996, 996, 2943
997, 997, 2959
981, 981, 2945
998, 998, 2961
982, 982, 2946
981, 981, 2962
997, 997, 2947
998, 998, 2963
982, 982, 2948
999, 999, 2964
983, 983, 2949
982, 982, 2965
998, 998, 2950
999, 999, 2966
983, 983, 2951
1000, 1000, 2967
984, 984, 2952
983, 983, 2968
999, 999, 2953
1000, 1000, 2969
984, 984, 2954
1001, 1001, 2970
985, 985, 2955
984, 984, 2971
1000, 1000, 2956
1001, 1001, 2972
985, 985, 2957
1002, 1002, 2973
986, 986, 2958
985, 985, 2974
1001, 1001, 2959
1002, 1002, 2975
986, 986, 2961
1003, 1003, 2977
987, 987, 2962
986, 986, 2978
1002, 1002, 2963
1003, 1003, 2979
987, 987, 2964
1004, 1004, 2980
988, 988, 2965
987, 987, 2981
1003, 1003, 2966
1004, 1004, 2982
988, 988, 2967
1005, 1005, 2983
989, 989, 2968
988, 988, 2984
1004, 1004, 2969
1005, 1005, 2985
989, 989, 2970
1006, 1006, 2986
990, 990, 2971
989, 989, 2987
1005, 1005, 2972
1006, 1006, 2988
990, 990, 2973
1007, 1007, 2989
991, 991, 2974
990, 990, 2990
1006, 1006, 2975
1007, 1007, 2991
992, 992, 2977
1009, 1009, 2993
993, 993, 2978
992, 992, 2994
1008, 1008, 2979
1009, 1009, 2995
993, 993, 2980
1010, 1010, 2996
994, 994, 2981
993, 993, 2997
1009, 1009, 2982
1010, 1010, 2998
994, 994, 2983
1011, 1011, 2999
995, 995, 2984
994, 994, 3000
1010, 1010, 2985
1011, 1011, 3001
995, 995, 2986
1012, 1012, 3002
996, 996, 2987
995, 995, 3003
1011, 1011, 2988
1012, 1012, 3004
996, 996, 2989
1013, 1013, 3005
997, 997, 2990
996, 996, 3006
1012, 1012, 2991
1013, 1013, 3007
997, 997, 2993
1014, 1014, 3009
998, 998, 2994
997, 997, 3010
1013, 1013, 2995
1014, 1014, 3011
998, 998, 2996
1015, 1015, 3012
999, 999, 2997
998, 998, 3013
1014, 1014, 2998
1015, 1015, 3014
999, 999, 2999
1016, 1016, 3015
1000, 1000, 3000
999, 999, 3016
1015, 1015, 3001
1016, 1016, 3017
1000, 1000, 3002
1017, 1017, 3018
1001, 1001, 3003
1000, 1000, 3019
1016, 1016, 3004
1017, 1017, 3020
1001, 1001, 3005
1018, 1018, 3021
1002, 1002, 3006
1001, 1001, 3022
1017, 1017, 3007
1018, 1018, 3023
1002, 1002, 3009
1019, 1019, 3025
